esriid,TotHUs,pctOccHUs,pctOwnerOcc,pctRenterOcc,AvgOwnerHHSize,AvgRenterHHSize,pctVacantForSale,pctVacantForRent,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow,pctPersonsPerRoomMedium,pctPersonsPerRoomHigh,MedianHValue,MedianGrossRent
  ,Total housing units ,pctOccHUs ,pctOwnerOcc ,pctRenterOcc ,Average household size of owner-occupied unit ,Average household size of renter-occupied unit ,pctVacantForSale ,pctVacantForRent ,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow ,pctPersonsPerRoomMedium ,pctPersonsPerRoomHigh ,Median home value ,Median rent 
11224,19979.00,90.90,29.80,70.20,2.40,2.22,9.60,35.30,77.00,4.20,6.00,19.50,39.40,12.00,5.00,12.30,95.80,3.20,0.90,320100.00,732.00
11225,24416.00,93.30,14.50,85.50,3.31,2.49,10.60,53.30,62.80,1.20,1.90,4.70,10.00,8.10,11.30,61.30,89.60,6.30,4.10,616600.00,1183.00
11226,39474.00,91.20,13.00,87.00,3.34,2.61,6.40,52.20,65.40,0.70,1.20,3.00,5.90,7.80,6.20,73.70,86.70,7.90,5.40,485900.00,1164.00
11228,16525.00,92.20,57.10,42.90,3.21,2.75,8.30,15.70,4.00,2.00,1.80,3.70,5.50,9.90,13.50,60.50,91.20,6.90,1.90,690600.00,1287.00
11229,33099.00,93.60,45.70,54.30,3.00,2.29,8.40,25.00,41.00,1.70,1.70,3.30,11.70,18.50,17.30,43.00,93.70,4.10,2.20,514300.00,1131.00
11230,32186.00,93.90,28.40,71.60,3.41,2.64,5.90,29.60,56.80,2.10,2.40,4.20,11.70,15.10,13.90,47.50,86.50,8.40,5.10,629700.00,1229.00
11231,16516.00,92.50,26.20,73.80,2.58,2.15,9.30,30.00,24.50,2.50,4.50,3.10,2.80,9.80,6.30,65.60,96.40,2.10,1.50,939100.00,1629.00
11232,9447.00,92.10,23.00,77.00,2.84,3.21,1.90,31.20,19.40,1.30,3.20,3.80,7.00,6.90,5.00,67.90,81.80,11.90,6.30,549000.00,1335.00
11233,30293.00,87.20,22.60,77.40,3.09,2.45,5.80,37.80,23.40,5.70,2.70,4.50,10.10,6.70,5.50,53.60,93.20,4.40,2.40,547500.00,1053.00
11234,34479.00,93.70,67.10,32.90,3.14,2.58,15.10,20.30,9.20,2.00,2.90,6.10,18.20,23.00,17.40,27.20,92.70,5.00,2.30,488400.00,1277.00
11235,35549.00,90.30,40.20,59.80,2.50,2.20,19.30,26.60,54.50,1.80,2.20,6.20,19.00,19.40,15.60,29.30,90.10,5.90,4.00,525600.00,1136.00
