esriid,FamsWithKids,pctFamsWithKids,pctSingleFathers,pctSingleMothers,HHsWithKids,pctHHsWithKids,AvgFamSize,pctLessThan9th,pctSomeHighSchool,pctHighSchool,pctSomeCollege,pctAssociates,pctBachelors,pctGradProf,pctHighSchoolOrMore,pctBachelorsormore,pctVeteran,pctUSNative,pctBornInUS,pctOthLangEnglishLTD,pctSpanishEnglishLTD
  ,With own children under 18 years,pctFamsWithKids ,pctSingleFathers ,pctSingleMothers ,Households with one or more people under 18 years,pctHHsWithKids ,Average family size ,pctLessThan9th,pctSomeHighSchool ,pctHighSchool ,pctSomeCollege ,pctAssociates ,pctBachelors ,pctGradProf ,pctHighSchoolOrMore ,pctBachelorsormore ,pctVeteran ,pctUSNative ,pctBornInUS ,pctOthLangEnglishLTD ,pctSpanishEnglishLTD
11415,1841.00,22.20,3.10,2.00,1949.00,23.50,3.14,5.00,5.70,18.20,15.00,11.60,23.50,21.00,89.30,44.40,2.60,57.80,94.40,37.60,34.30
11416,3086.00,43.40,3.70,11.10,3546.00,49.90,4.01,14.10,11.10,28.70,15.00,8.90,16.10,6.20,74.90,22.30,1.60,47.50,91.50,43.30,42.90
11417,3638.00,38.20,2.00,9.50,4136.00,43.50,3.75,11.40,11.40,33.00,16.10,7.20,14.20,6.80,77.20,21.00,3.60,55.20,93.80,40.50,38.90
11418,3838.00,34.60,1.80,6.80,4477.00,40.40,3.77,11.70,12.00,27.80,14.80,7.30,17.00,9.40,76.30,26.40,2.40,48.30,91.90,43.60,44.30
11419,4513.00,36.30,3.00,6.10,5527.00,44.50,4.18,15.20,11.70,37.60,12.60,5.50,13.20,4.10,73.10,17.30,1.70,35.80,92.10,41.70,41.90
11420,5079.00,37.10,2.90,8.00,6320.00,46.20,3.98,12.80,11.30,34.60,16.40,7.40,13.20,4.40,75.90,17.50,2.60,47.60,94.20,34.20,34.40
11421,4787.00,39.20,2.70,9.30,5533.00,45.40,3.87,12.90,10.60,30.40,16.30,8.10,14.70,7.00,76.50,21.70,2.70,54.70,92.10,43.30,40.00
11422,3405.00,34.80,3.10,14.30,4238.00,43.30,3.71,4.80,7.00,24.70,24.30,10.40,19.40,9.40,88.20,28.80,3.40,59.90,96.90,25.30,21.40
11423,3160.00,31.70,1.70,8.80,3783.00,38.00,3.74,10.90,7.70,28.50,18.50,7.80,17.80,8.90,81.40,26.60,3.20,48.30,96.00,39.70,50.80
11424,0.00,,,,0.00,,,,,,,,,,,,,,,,
11425,0.00,,,,0.00,,,,,,,,,,,,,,,,
11426,2002.00,32.90,1.80,3.90,2205.00,36.20,3.65,4.80,7.00,28.80,16.30,6.40,22.00,14.70,88.20,36.70,4.50,59.20,96.30,43.30,47.10
11427,2224.00,29.00,1.20,4.10,2711.00,35.40,3.55,5.70,10.10,27.30,15.00,8.40,22.30,11.10,84.20,33.40,3.70,52.00,96.20,40.60,41.60
11428,1930.00,33.10,3.20,5.50,2308.00,39.60,3.77,9.50,9.00,34.40,14.00,12.00,15.50,5.60,81.50,21.10,3.00,42.90,95.80,44.30,46.90
11429,2403.00,31.90,3.70,10.90,3276.00,43.40,3.90,6.40,9.20,33.50,21.50,9.50,13.10,6.80,84.40,19.90,3.70,55.10,96.70,34.40,34.40
11430,0.00,,,,0.00,,,0.00,28.40,50.00,9.50,0.00,8.10,4.10,71.60,12.20,7.00,81.30,100.00,100.00,100.00
11432,6115.00,32.70,1.50,6.80,6953.00,37.20,3.69,12.80,9.90,23.20,11.30,8.30,21.50,12.90,77.30,34.40,2.20,42.30,95.90,51.40,57.30
11433,3979.00,38.20,2.90,21.20,4814.00,46.20,4.33,10.70,12.50,30.90,19.40,8.90,12.90,4.80,76.80,17.70,2.90,68.60,97.20,46.10,42.30
11434,6017.00,29.30,2.80,11.80,8245.00,40.10,3.69,5.30,9.90,31.20,23.80,7.70,14.40,7.70,84.80,22.10,5.20,69.20,97.90,41.50,41.40
11435,5488.00,30.00,2.80,7.10,6451.00,35.20,3.56,12.20,9.20,27.50,13.90,7.70,19.00,10.40,78.60,29.40,2.20,47.30,94.10,50.50,55.20
11436,1755.00,32.50,4.10,10.70,2260.00,41.90,3.78,8.00,9.30,36.30,21.80,7.20,11.80,5.60,82.70,17.40,3.80,62.10,97.10,42.40,37.50
11451,0.00,,,,0.00,,,,,,,,,,,,,,,,
11691,6696.00,34.50,2.40,13.70,8117.00,41.90,3.91,13.80,16.20,27.30,16.50,6.70,12.20,7.30,70.00,19.60,3.60,66.70,93.60,51.50,55.80
11692,2340.00,38.10,3.50,21.60,2703.00,44.00,3.37,10.90,14.50,25.60,20.50,9.00,12.20,7.20,74.60,19.50,4.60,71.30,95.40,41.30,46.10
